Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
6ed0ebd3-6ef5-8b5a-168f-b4f7fda8f02d,1978-08-05,,999-27-9373,S99949574,X53997099X,Mr.,Ulysses632,McKenzie376,,,S,white,nonhispanic,M,Chipping Sodbury  Gloucestershire  GB,989 Hansen Ranch,Newport,Gloucestershire,Newport,GL13,51.74022831745629,-2.4750064008032937,0.0,4500.0
13b101cd-210b-e0ca-3d52-da62066a7d74,1985-05-21,,999-16-4858,S99919647,X20634459X,Mr.,Theo630,Lakin515,,,M,white,nonhispanic,M,Bristol  Gloucestershire  GB,822 Strosin Heights,Stone,Gloucestershire,Stone,GL13,51.65762571997192,-2.416073434289276,0.0,4125.0
57e169fa-9da3-e6d4-4440-9b807486264c,1981-09-11,,999-37-6755,S99978089,X12360313X,Mr.,Rene434,Dach178,,,M,white,nonhispanic,M,Bristol  Gloucestershire  GB,793 Senger Manor Unit 85,Cambridge,Gloucestershire,Cambridge,GL2,51.699530994358184,-2.368482652493753,0.0,4250.0
70c7c354-b615-042f-c687-964d0968d621,1984-08-28,,999-87-1345,S99966801,X22966872X,Mr.,Billy698,Swaniawski813,,,M,white,nonhispanic,M,Bristol  Gloucestershire  GB,417 Grady Mission,Newport,Gloucestershire,Newport,GL13,51.69382981632663,-2.46614321476849,0.0,4125.0
14ee54e1-0e84-3c01-7f86-ffdd49561f2c,1986-10-03,,999-40-8744,S99977836,X69588530X,Mr.,Matthew562,Sauer652,,,M,white,nonhispanic,M,Kingswood  Gloucestershire  GB,451 Roberts Fort,Dursley,Gloucestershire,Dursley,GL11,51.666213852594026,-2.334763357270618,0.0,4125.0
4527c978-130d-981d-bc8e-6e41605f9ee7,1983-12-20,,999-77-2776,S99931289,X23549213X,Mr.,Philip822,Weimann465,,,M,white,nonhispanic,M,Tewkesbury  Gloucestershire  GB,178 Quitzon Mall Unit 23,Cheltenham,Gloucestershire,Cheltenham,GL52,51.9068988482948,-2.054230627699128,0.0,4250.0
6b5dfda3-8f2d-2a7b-8aa4-a693788b5456,1977-05-16,,999-77-7843,S99951248,X12720910X,Mr.,Claudio955,Reynolds644,,,S,white,nonhispanic,M,Bristol  Gloucestershire  GB,328 Ratke Boulevard,Newport,Gloucestershire,Newport,GL13,51.743181562859874,-2.4939526911830066,0.0,4500.0
f2f35ffb-7a0a-f145-cd00-09865ff3136d,1977-10-22,,999-51-1691,S99959090,X10113075X,Mr.,Renato359,Baumbach677,,,M,white,nonhispanic,M,Newport  Gloucestershire  GB,381 Armstrong Estate Unit 70,Bristol,Gloucestershire,Bristol,BS35,51.585477870631685,-2.6025525434707206,0.0,4500.0
433f7ae3-59ad-f1a8-f64f-b2f1cf0b493e,1984-12-08,,999-38-7689,S99983114,X20292633X,Mr.,Williams176,Howell947,,,M,white,nonhispanic,M,Bristol  Gloucestershire  GB,882 Hilll Neck Apt 82,Cheltenham,Gloucestershire,Cheltenham,GL50,51.862450461620355,-2.1062875357294786,0.0,4125.0
fb28b833-7703-c8a7-71d6-14ffed422b57,1985-10-05,,999-30-2487,S99954827,X74887751X,Mr.,Brian582,Nienow652,,,M,white,nonhispanic,M,Leigh  Gloucestershire  GB,187 Schowalter Mews Apt 64,Bristol,Gloucestershire,Bristol,BS35,51.51271513078952,-2.5824967733720543,0.0,4125.0
1cdbf32e-d883-e423-77dc-f14dbf904ab6,1979-03-25,,999-14-7628,S99923859,X1776077X,Mr.,Kareem959,Schiller186,,,M,white,nonhispanic,M,Leigh  Gloucestershire  GB,762 Breitenberg Flat,Hyde,Gloucestershire,Hyde,GL6,51.7527104329848,-2.2291953242846,0.0,4500.0
